case,origin,dest,demand,y,flow
    0, 1,  4,200.0000, 39.7346,200.0000
    0, 2,  4,150.0000, 47.2744,150.0000
    1, 1,  4,200.0000, 45.0145,200.0000
    1, 2,  4,150.0000, 36.3424,150.0000
    2, 1,  4,200.0000, 40.9217,200.0000
    2, 2,  4,150.0000, 36.3424,150.0000
    3, 1,  4,200.0000, 39.2776,200.0000
    3, 2,  4,150.0000, 36.3424,150.0000
    4, 1,  4,200.0000, 44.5034,200.0000
    4, 2,  4,150.0000, 26.6461,150.0000
    5, 1,  4,200.0000, 41.3564,200.0000
    5, 2,  4,150.0000, 26.6461,150.0000
    6, 1,  4,200.0000, 39.8320,200.0000
    6, 2,  4,150.0000, 26.6461,150.0000
    7, 1,  4,200.0000, 44.2222,200.0000
    7, 2,  4,150.0000, 24.5636,350.0000
    8, 1,  4,200.0000, 41.6805,200.0000
    8, 2,  4,150.0000, 23.6252,150.0000
    9, 1,  4,200.0000, 42.3408,200.0000
    9, 2,  4,150.0000, 22.6821,350.0000
   10, 1,  4,200.0000, 37.9145,200.0000
   10, 2,  4,150.0000, 36.3424,150.0000
   11, 1,  4,200.0000, 33.8216,200.0000
   11, 2,  4,150.0000, 36.3424,150.0000
   12, 1,  4,200.0000, 32.1775,200.0000
   12, 2,  4,150.0000, 36.3424,150.0000
   13, 1,  4,200.0000, 37.4034,200.0000
   13, 2,  4,150.0000, 26.6461,150.0000
   14, 1,  4,200.0000, 34.2563,200.0000
   14, 2,  4,150.0000, 26.6461,150.0000
   15, 1,  4,200.0000, 37.1222,200.0000
   15, 2,  4,150.0000, 24.5636,350.0000
   16, 1,  4,200.0000, 35.7348,200.0000
   16, 2,  4,150.0000, 36.3424,150.0000
   17, 1,  4,200.0000, 31.6419,200.0000
   17, 2,  4,150.0000, 36.3424,150.0000
   18, 1,  4,200.0000, 35.2237,200.0000
   18, 2,  4,150.0000, 26.6461,150.0000
   19, 1,  4,200.0000, 42.8505, 71.9882
   19, 2,  4,150.0000, 36.3424,150.0000
   20, 1,  4,200.0000, 40.9217,200.0000
   20, 2,  4,150.0000, 36.3424,150.0000
   21, 1,  4,200.0000, 39.2776,200.0000
   21, 2,  4,150.0000, 36.3424,150.0000
   22, 1,  4,200.0000, 42.7260, 80.9097
   22, 2,  4,150.0000, 26.6461,150.0000
   23, 1,  4,200.0000, 41.3564,200.0000
   23, 2,  4,150.0000, 26.6461,150.0000
   24, 1,  4,200.0000, 42.4500,103.9816
   24, 2,  4,150.0000, 24.0194,253.9816
   25, 1,  4,200.0000, 37.9145,200.0000
   25, 2,  4,150.0000, 36.3424,150.0000
   26, 1,  4,200.0000, 33.8216,200.0000
   26, 2,  4,150.0000, 36.3424,150.0000
   27, 1,  4,200.0000, 37.4034,200.0000
   27, 2,  4,150.0000, 26.6461,150.0000
   28, 1,  4,200.0000, 35.7348,200.0000
   28, 2,  4,150.0000, 36.3424,150.0000
   29, 1,  4,200.0000, 38.4549,200.0000
   29, 2,  4,150.0000, 36.3424,150.0000
   30, 1,  4,200.0000, 38.4549,200.0000
   30, 2,  4,150.0000, 36.3424,150.0000
   31, 1,  4,200.0000, 38.4549,200.0000
   31, 2,  4,150.0000, 26.6461,150.0000
   32, 1,  4,200.0000, 37.4965,158.4359
   32, 2,  4,150.0000, 36.3424,150.0000
   33, 1,  4,200.0000, 35.7802,200.0000
   33, 2,  4,150.0000, 36.3424,150.0000
